video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,like_ratio,comment_ratio
ZIHhuwvT7R0,17.14.11,"Asli Fighter (Okka Ammayi Thappa) 2017 NEW Full Hindi Dubbed Movie | Sundeep Kishan, Nithya Menen",RKD Digital,24,2017-11-11T19:24:38.000Z,"asli fighter|""asli fighter (okka ammayi thappa) 2017 hindi dubbed""|""okka ammayi thappa full movie hindi dubbed""|""sundeep kishan movies in hindi dubbed""|""ravi kishan south movie in hindi""|""nithya menon movies hindi dubbed""|""nithya menen""|""ravi kishan""|""rahul dev""|""south indian movies dubbed in hindi full movie 2017 new""|""latest hindi dubbed movies 2017""|""new release south indian movies dubbed in hindi 2017""|""latest 2017 south indian movies dubbed in hindi""",2294242,14960,1361,913,https://i.ytimg.com/vi/ZIHhuwvT7R0/default.jpg,False,False,False,0.6520672187153752,1638.55421686747
Mqfh8_Uk1eM,17.14.11,Sudigaali Sudheer Performance | Extra Jabardasth | 10th November 2017 | ETV Telugu,ETV Jabardasth,22,2017-11-10T20:38:52.000Z,"etv shows|""eenadu television""|""padutha theeyaga""|""super2""|""dhee Jodi""|""jabardasth""|""extra jabardsth""|""etv20""|""etv comedy show""|""extra jabardasth""|""naga babu""|""roja""|""anchor anasuya""|""rashmi""|""dhanraj""|""chandra""|""venu""|""chanti""|""dhana dhan dhanraj""|""comedy short films""|""chamak chandra""|""chalaki chanti""|""raghava""|""rocket raghava""|""roller raghu""|""venu wonders""|""comedy skits in telugu""|""telugu comedy tracks""|""kiraak rp""",1956925,9504,938,956,https://i.ytimg.com/vi/Mqfh8_Uk1eM/default.jpg,False,False,False,0.48565990009836857,994.142259414226
1kuJkA9usqg,17.14.11,"Deivamagal Episode 1387, 13/11/17",VikatanTV,24,2017-11-13T15:00:01.000Z,"deivamagal|""deiva magal""|""deiva magal serial""|""VikatanTV""|""deivamagal episode today""|""deivamagal today""|""deivamagal today episode""|""deivamagal episode 1387""|""deivamagal 13 November 2017""|""deiva magal serial 13.11.17""|""deiva magal episode 1387""|""தெய்வமகள்""|""devamagal""|""deivamagal episode""|""deviamagal""|""deivamahal""|""devaimagal""|""divamagal""",387221,2159,1214,711,https://i.ytimg.com/vi/1kuJkA9usqg/default.jpg,False,False,False,0.557562735492135,303.6568213783404
0SMKG3SRGzQ,17.14.11,Rana hungama at #ChaySam Wedding Reception || TV9,TV9 Telugu,19,2017-11-12T16:08:13.000Z,Rana hungama at #ChaySam Wedding Reception || TV9,176472,588,52,23,https://i.ytimg.com/vi/0SMKG3SRGzQ/default.jpg,False,False,False,0.3331973344213246,2556.521739130435
znOC3IU0dF8,17.14.11,Hero Tarun at #ChaySamWeddingReception | Samantha & Naga Chaitanya Reception Videos | News Mantra,News Mantra,24,2017-11-13T06:03:49.000Z,"Hero Tarun At Samantha Naga Chaitanya Wedding Reception|""#ChaySam Reception""|""News Mantra""|""Hero Tarun@ #ChaySam Wedding Reception""|""Hero Tarun""|""Naga Chaitanya - Samantha Akkineni Reception LIVE""|""Naga Chaitanya""|""Samantha""|""Naga Chaitanya Samantha""|""Nagarjuna""|""#ChaiSam""|""Reception LIVE""|""Akkineni Reception LIVE""|""Naga Chaitanya and Samantha marriage""|""chaysam reception live""|""Naga Chaitanya Samantha Wedding reception LIVE""",55178,45,94,15,https://i.ytimg.com/vi/znOC3IU0dF8/default.jpg,False,False,False,0.08155424263293341,300.0
z3V9LUA6VQM,17.14.11,ఆమె బ్యాంకు అకౌంట్ లో పొరపాటున 125 కోట్లు జమయాయ్యి..! దీంతో ఆమె ఏం చేసిందో తెలుసా..|| OmFut,OmFut,24,2017-11-12T09:45:58.000Z,[none],236710,858,197,66,https://i.ytimg.com/vi/z3V9LUA6VQM/default.jpg,False,False,False,0.36246884373283766,1300.0
bx-QX2ZPH60,17.14.11,Moto X4 Unboxing & Hands On Overview (Indian Unit),Geekyranjit,28,2017-11-13T10:00:04.000Z,"moto x4 unboxing|""moto x4""|""moto x4 india""|""moto x4 hands on""|""noto x4 camera""|""moto x4 review""|""geekyranjit""",238637,7975,368,1274,https://i.ytimg.com/vi/bx-QX2ZPH60/default.jpg,False,False,False,3.3418958501824947,625.9811616954474
tFM-GNSeXzw,17.14.11,दिन भर की 5 बड़ी ख़बरें @HindiKhabar 12 NOVEMBER  2017,Hindi Khabar,25,2017-11-12T15:26:04.000Z,"Hindi Khabar|""UttarPradesh""|""Uttrakhand""|""BundelKhand""|""AtulAgrawal""|""DigitalMedia""|""UP""|""Yogi Adityanath""|""Yogi Sarkar""|""अखिलेश यादव""|""मायावती""|""योगी आदित्यनाथ""|""बीजेपी""|""सपा""|""बसपा""|""कांग्रेस""|""केशव प्रसाद मौर्य""|""डॉ. दिनेश शर्मा""|""लखनऊ""|""गोरखपुर""|""वाराणसी""|""हिन्दी ख़बर""|""नरेन्द्र मोदी""|""SP""|""BJP""|""Congress""|""Dinesh Sharma""|""Keshaw Prasad Maurya""",85432,114,91,13,https://i.ytimg.com/vi/tFM-GNSeXzw/default.jpg,False,False,False,0.13343946062365392,876.923076923077
MF9ovM9y0PE,17.14.11,Punyalan Private Limited Official Teaser 2 | Jayasurya | Ranjith Sankar | Aju Varghese,DREAMS N BEYOND,1,2017-11-12T04:30:00.000Z,"dreams n beyond|""dreamsnbeyond""|""ranjith shankar""|""Punyalan Private Limited""|""Punyalan Private Limited Official Teaser 2""|""punyalan private limited trailer""|""jayasurya""|""aju varghese""|""punyalan 2 trailer""|""punyalan kalippu teaser""|""punyalan 2 teaser""|""punyalan 2 teaser trailer""|""punyalan private limited""|""punyalan 2 official trailer""|""punyalan private limited movie""|""punyalan private limited theatrical trailer""|""punyalan private limited official trailer""|""punyalan 2""|""punyalan agarbatis""|""dq""|""new""",249423,7861,68,364,https://i.ytimg.com/vi/MF9ovM9y0PE/default.jpg,False,False,False,3.15167406373911,2159.6153846153848
EJVvdjDGnak,17.14.11,Nagarjuna Funny Comments on Samantha Dress || Naga Chaitany Samantha Akkineni Wedding Reception 2017,Top Telugu TV,24,2017-11-13T07:26:33.000Z,"Nagarjuna Funny Comments on Samantha Dress|""Naga Chaitany Samantha Akkineni Wedding Reception 2017""|""nagarjuna shocking comments on samantha dress""|""nagarjuna funny comments""|""samantha dress""|""samantha wedding reception""|""samantha""|""dress""|""nagarjuna""|""funny""|""naga chaitany""|""naga chaitany samantha""|""samantha wedding""|""#chaisam""|""akkineni reception live""|""grand reception for #chaysam""|""samantha akkineni""|""naga chaitanya""|""akkineni naga chaitanya""|""samantha marriage video""",256199,318,123,35,https://i.ytimg.com/vi/EJVvdjDGnak/default.jpg,False,False,False,0.12412226433358443,908.5714285714286
